word	sort_id
行く	1
見る	2
多い	3
家	4
これ	5
それ	6
私	7
仕事	8
いつ	9
する	10
出る	11
使う	12
所	13
作る	14
思う	15
持つ	16
買う	17
時間	18
知る	19
同じ	20
今	21
新しい	22
なる	23
まだ	24
あと	25
聞く	26
言う	27
少ない	28
高い	29
子供	30
そう	31
もう	32
学生	33
熱い	34
どうぞ	35
午後	36
長い	37
本	38
今年	39
よく	40
彼女	41
どう	42
言葉	43
顔	44
終わる	45
一人	46
あげる	47
人工	47
こう	48
大きい	48
下	49
学校	49
八	50
くれる	50
始める	51
八つ	51
起きる	52
入り口	52
春	53
午前	54
山	54
別	55
口	55
どこ	56
ふじ山	56
部屋	57
九	57
九つ	58
若い	58
一	59
車	59
一つ	60
置く	60
人	61
住む	61
下さい	62
働く	62
人口	63
難しい	63
力	64
先生	64
川	65
立つ	65
呼ぶ	66
七	66
七つ	67
大学	67
大きさ	68
安い	68
十	69
もっと	69
三	70
帰る	70
三人	71
分かる	71
広い	72
三つ	72
数	73
上る	73
近い	74
入る	74
下がる	75
そこ	75
走る	76
入れる	76
下げる	77
入れる	77
上げる	78
教える	78
上がる	79
歩く	79
会う	80
二	80
書く	81
二人	81
二つ	82
頭	82
上	83
売る	83
女	84
大好き	84
体	85
直ぐ	86
飛ぶ	87
とても	88
誰	89
好き	90
読む	91
次	92
あなた	93
飲む	94
古い	95
質問	96
今日	97
友達	98
早い	99
どれ	100
美しい	101
いつも	102
足	103
起こす	104
見せる	105
娘	106
楽しむ	107
色	108
みんな	109
取る	110
勉強	111
できる	112
短い	113
落ちる	114
息子	115
白い	116
飛行機	117
病気	118
冬	119
年	120
重い	121
胸	122
払う	123
軽い	124
見つける	125
忘れる	126
酒	127
どちら	128
姉	129
覚える	130
狭い	131
赤い	132
着る	133
笑う	134
一番	135
授業	136
週	137
漢字	138
自転車	139
電車	140
探す	141
紙	142
歌う	143
遅い	144
首	145
速い	146
一緒に	147
今月	148
遊ぶ	149
遠い	150
弱い	151
耳	152
座る	153
右	154
浴びる	155
又	156
肩	156
四月	157
寝る	157
消す	158
玉	158
元気	159
本	159
全部	160
白人	160
去年	161
丸	161
引く	162
丸い	162
図書館	163
正しい	163
犬	164
上げる	164
緑	165
八日	165
夕べ	166
腕	166
ドア	167
出口	167
目	168
女の子	168
男の子	169
目玉	169
二月	170
私たち	170
近く	171
五日	171
五十	172
やる	172
火	173
かなり	173
国	174
五	174
起こる	175
五つ	175
秋	176
四	176
送る	177
天才	177
女子	178
死ぬ	178
気持ち	179
女の子	179
上手	180
乗る	180
いる	181
手	181
木	182
天	182
入力	183
開ける	183
一月	184
閉める	184
日本	185
続く	185
お医者さん	186
六月	186
子	187
円	187
ここ	188
王	188
待つ	189
左右	189
左	190
低い	190
もらう	191
五月	191
中	192
食べる	192
〜円	193
兄	193
名前	194
月	194
夫	195
九日	195
一	196
十月	196
結婚	197
一日	197
親	198
一千	198
千円	199
話す	199
少し	200
人々	201
閉じる	201
王子	202
時	202
王女	203
米	203
子犬	204
切る	204
楽しい	205
女王	205
服	206
田	206
右	207
後ろ	207
嬉しい	208
円い	208
二日	209
腰	209
日曜日	210
七日	210
昼	211
六	211
お母さん	212
十六	212
六日	213
大学生	213
六つ	214
終わり	214
背	215
小さい	215
土	216
手伝う	216
鼻	217
日	217
刀	218
起きる	218
載せる	219
十日	219
三日	220
悲しい	220
千	221
しゃべる	221
正す	222
近く	222
甘い	223
出る	223
立つ	224
テーブル	224
立てる	225
食べ物	225
始まる	226
出す	226
木	227
ゲーム	227
十	228
水中	228
天気	229
下手	229
中々	230
暑い	230
太い	231
大いに	231
晩	232
火山	232
土曜日	233
水	233
白	234
痛い	234
お父さん	235
文	235
多分	236
〜才	236
時計	237
泊まる	238
どうして	239
掛ける	240
曲がる	241
お腹	242
ミーティング	243
嫌い	244
金曜日	245
要る	246
無い	247
黄色い	248
優しい	250
晴れる	251
汚い	252
茶色	253
上る	255
ご飯	256
日	257
つける	259
月曜日	260
入る	261
カタカナ	262
今週	263
開く	264
水	265
あれ	266
二	267
まずい	269
平仮名	270
曇る	271
触る	272
駄目	273
飲み物	274
木曜日	275
曜日	276
そば	277
こっち	278
火曜日	279
三	281
水曜日	282
二つ	283
今晩	284
